Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United Kingdom,Master's degree,A social science,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Desktop applications developer; Other,Male,White or of European descent
Russian Federation,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,Fewer than 10 employees,Pre-series A startup,2 to 3 years,Web developer,,
Canada,Bachelor's degree,A business discipline,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Mobile developer; Other,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Canada,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Publicly-traded corporation,5 to 6 years,Web developer,Male,White or of European descent
Canada,Master's degree,A natural science,All or almost all the time (I'm full-time remote),20 to 99 employees,Pre-series A startup,9 to 10 years,Web developer; Mobile developer; Embedded applications/devices developer; Machine learning specialist; Data scientist; Desktop applications developer; Database administrator; DevOps specialist; Quality assurance engineer,Male,White or of European descent
Australia,Bachelor's degree,Mathematics or statistics,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Developer with a statistics or mathematics background,Male,
United States,Doctoral degree,A natural science,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,3 to 4 years,Developer with a statistics or mathematics background; Other,Male,White or of European descent
Australia,Master's degree,Something else,Never,100 to 499 employees,Publicly-traded corporation,1 to 2 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,A few days each month,10 to 19 employees,State-owned company,4 to 5 years,Web developer,,
Canada,Master's degree,Computer science or software engineering,Never,100 to 499 employees,Venture-funded startup,5 to 6 years,Web developer,Male,White or of European descent
United Kingdom,Some college/university study without earning a bachelor's degree,A social science,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
Australia,Bachelor's degree,Computer programming or Web development,It's complicated,10 to 19 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Fine arts or performing arts,A few days each month,20 to 99 employees,Venture-funded startup,11 to 12 years,Web developer,Male,White or of European descent
Greece,Secondary school,,It's complicated,500 to 999 employees,Publicly-traded corporation,1 to 2 years,Web developer; Data scientist; Desktop applications developer; Database administrator,,White or of European descent
United States,Master's degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Other,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",Less than a year,Web developer,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Desktop applications developer; Systems administrator,Male,Hispanic or Latino/Latina
United States,Master's degree,Computer engineering or electrical/electronics engineering,It's complicated,100 to 499 employees,Venture-funded startup,20 or more years,Web developer,Female,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,2 to 3 years,Web developer; Developer with a statistics or mathematics background,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,Web developer; Desktop applications developer,Male,Hispanic or Latino/Latina; White or of European descent
United States,Bachelor's degree,Computer science or software engineering,It's complicated,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Mobile developer; Graphic designer; Database administrator; Systems administrator; Quality assurance engineer,Male,White or of European descent
